SampleID	nsample	group	individual	year	month_year	tag	sex	season	individual_month	age_months
283_Til_0718_18S	283_327_348	B	Tilos	2018	07_July18	TATI_a_1572	M	dry	Tilos_07_July18	69
284_Lat_0718_18S	284_323_347	B	Latalata	2018	07_July18	TATI_a_1433	F	dry	Latalata_07_July18	9.188679245
285_Bor_0718_18S	285_320_350	B	Bora	2018	07_July18	TATI_a_1363	F	dry	Bora_07_July18	141.2475248
286_Ado_0718_18S	286_366_376	B	Adonara	2018	07_July18	TATI_a_1310	F	dry	Adonara_07_July18	9.427570093
287_Oma_0718_18S	287_324_354	B	Oman	2018	07_July18	TATI_a_1510	M	dry	Oman_07_July18	57.21076233
288_Taj_0718_18S	288_318_371	J	Taji	2018	07_July18	TATI_a_1555	M	dry	Taji_07_July18	57
289_Syr_0718_18S	289_314_344	J	Syria	2018	07_July18	TATI_a_1545	F	dry	Syria_07_July18	57.30841121
290_Bah_0718_18S	290_317_368	J	Bahrain	2018	07_July18	TATI_a_1346	M	dry	Bahrain_07_July18	9.333333333
291_Cam_0718_18S	291_315_345	J	Cambodia	2018	07_July18	TATI_a_1377	F	dry	Cambodia_07_July18	201.1237113
292_Col_0718_18S	292_310_375	J	Colanta	2018	07_July18	TATI_a_1386	F	dry	Colanta_07_July18	105
293_Kas_0718_18S	293_313_373	J	Kasachstan	2018	07_July18	TATI_a_1412	M	dry	Kasachstan_07_July18	21.53947368
294_Afg_0718_18S	294_316_369	J	Afganistan	2018	07_July18	TATI_a_1316	M	dry	Afganistan_07_July18	9
295_Mon_0718_18S	295_311_372	J	Mongolei	2018	07_July18	TATI_a_1498	M	dry	Mongolei_07_July18	32.33928571
296_Arm_0718_18S	296_312_370	J	Armenia	2018	07_July18	TATI_a_1337	F	dry	Armenia_07_July18	9
297_Kuw_0718_18S	297_340_346	J	Kuwait	2018	07_July18	TATI_a_1424	M	dry	Kuwait_07_July18	44.40397351
298_Pak_0718_18S	298_319_374	J	Pakistan	2018	07_July18	TATI_a_1522	M	dry	Pakistan_07_July18	153
299_Tor_0718_18S	299	F	Tortuga	2018	07_July18	TATI-a-418	F	dry	Tortuga_07_July18	33
300_Cai_0718_18S	300	F	Caicos	2018	07_July18	TATI-a-419	M	dry	Caicos_07_July18	45
301_Pin_0718_18S	301	F	Pinos	2018	07_July18	TATI-a-420	M	dry	Pinos_07_July18	33
302_Goz_0718_18S	302	F	Gozo	2018	07_July18	TATI-a-421	M	dry	Gozo_07_July18	105
303_May_0718_18S	303	F	Mayaguana	2018	07_July18	TATI-a-422	F	dry	Mayaguana_07_July18	69
304_Bon_0718_18S	304	F	Bonacca	2018	07_July18	TATI-a-423	F	dry	Bonacca_07_July18	9.623595506
305_Tha_0718_18S	305_337_361	A	Thassos	2018	07_July18	TATI_a_1564	M	dry	Thassos_07_July18	20.47435897
306_Lef_0718_18S	306_334_364	A	Lefkada	2018	07_July18	TATI_a_1479	F	dry	Lefkada_07_July18	55.56147541
307_Isa_0718_18S	307_336_362	A	Isabella	2018	07_July18	TATI_a_1395	F	dry	Isabella_07_July18	69
308_Luz_0718_18S	308_333_363	A	Luzon	2018	07_July18	TATI_a_1488	M	dry	Luzon_07_July18	189
309_Par_0718_18S	309_335_365	A	Paros	2018	07_July18	TATI_a_1532	M	dry	Paros_07_July18	69
329_Pin_0718_18S	329	F	Pinos	2018	07_July18	TATI-a-424	M	dry	Pinos_07_July18	33
330_Goz_0718_18S	330	F	Gozo	2018	07_July18	TATI-a-425	M	dry	Gozo_07_July18	105
331_Cai_0718_18S	331	F	Caicos	2018	07_July18	TATI-a-426	M	dry	Caicos_07_July18	45
332_Bon_0718_18S	332	F	Bonacca	2018	07_July18	TATI-a-18	F	dry	Bonacca_07_July18	9.623595506
338_May_0718_18S	338	F	Mayaguana	2018	07_July18	TATI-a-427	F	dry	Mayaguana_07_July18	69
339_Luc_0718_18S	339	F	Lucia	2018	07_July18	TATI-a-428	F	dry	Lucia_07_July18	225.473029
341_May_0718_18S	341	F	Mayaguana	2018	07_July18	TATI-a-429	F	dry	Mayaguana_07_July18	69
342_Tor_0718_18S	342	F	Tortuga	2018	07_July18	TATI-a-19	F	dry	Tortuga_07_July18	33
343_Luc_0718_18S	343	F	Lucia	2018	07_July18	TATI-a-430	F	dry	Lucia_07_July18	225.473029
355_Luc_0718_18S	355	F	Lucia	2018	07_July18	TATI-a-431	F	dry	Lucia_07_July18	225.473029
356_Cai_0718_18S	356	F	Caicos	2018	07_July18	TATI-a-432	M	dry	Caicos_07_July18	45
357_Bon_0718_18S	357	F	Bonacca	2018	07_July18	TATI-a-433	F	dry	Bonacca_07_July18	9.623595506
358_Tor_0718_18S	358	F	Tortuga	2018	07_July18	TATI-a-434	F	dry	Tortuga_07_July18	33
359_Pin_0718_18S	359	F	Pinos	2018	07_July18	TATI-a-435	M	dry	Pinos_07_July18	33
360_May_0718_18S	360	F	Mayaguana	2018	07_July18	TATI-a-20	F	dry	Mayaguana_07_July18	69
377_Taj_0818_18S	377_409_441	J	Taji	2018	08_Aug18	TATI_a_1556	M	dry	Taji_08_Aug18	58
378_Kuw_0818_18S	378_417_440	J	Kuwait	2018	08_Aug18	TATI_a_1425	M	dry	Kuwait_08_Aug18	45.18796992
379_Afg_0818_18S	379_416_445	J	Afganistan	2018	08_Aug18	TATI_a_1317	M	dry	Afganistan_08_Aug18	10
380_Arm_0818_18S	380_415_439	J	Armenia	2018	08_Aug18	TATI_a_1338	F	dry	Armenia_08_Aug18	10
381_Pak_0818_18S	381_410_447	J	Pakistan	2018	08_Aug18	TATI_a_1523	M	dry	Pakistan_08_Aug18	154
382_Bah_0818_18S	382_413_443	J	Bahrain	2018	08_Aug18	TATI_a_1347	M	dry	Bahrain_08_Aug18	10
383_Syr_0818_18S	383_418_448	J	Syria	2018	08_Aug18	TATI_a_1546	F	dry	Syria_08_Aug18	58.41361257
384_Cam_0818_18S	384_414_446	J	Cambodia	2018	08_Aug18	TATI_a_1378	F	dry	Cambodia_08_Aug18	202.4883721
386_Col_0818_18S	386_419_449	J	Colanta	2018	08_Aug18	TATI_a_1387	F	dry	Colanta_08_Aug18	105.9433962
387_Isa_0818_18S	387_434_464	A	Isabella	2018	08_Aug18	TATI_a_1396	F	dry	Isabella_08_Aug18	70
388_Par_0818_18S	388_435_463	A	Paros	2018	08_Aug18	TATI_a_1533	M	dry	Paros_08_Aug18	70
389_Tha_0818_18S	389_436_461	A	Thassos	2018	08_Aug18	TATI_a_1565	M	dry	Thassos_08_Aug18	21.58988764
390_Luz_0818_18S	370_438_462	A	Luzon	2018	08_Aug18	TATI_a_1489	M	dry	Luzon_08_Aug18	190
391_Lef_0818_18S	391_437_460	A	Lefkada	2018	08_Aug18	TATI_a_1480	F	dry	Lefkada_08_Aug18	56.55319149
392_Cai_0818_18S	392	F	Caicos	2018	08_Aug18	TATI-a-436	M	dry	Caicos_08_Aug18	46
393_May_0818_18S	393	F	Mayaguana	2018	08_Aug18	TATI-a-437	F	dry	Mayaguana_08_Aug18	70
394_Pin_0818_18S	394	F	Pinos	2018	08_Aug18	TATI-a-438	M	dry	Pinos_08_Aug18	34
395_Mon_0818_18S	385_411_442	J	Mongolei	2018	08_Aug18	TATI_a_1499	M	dry	Mongolei_08_Aug18	33.6015625
395_Oma_0818_18S	395_423_456	B	Oman	2018	08_Aug18	TATI_a_1511	M	dry	Oman_08_Aug18	58
396_Jac_0818_18S	396_424_459	B	Jaco	2018	08_Aug18	TATI_a_1404	M	dry	Jaco_08_Aug18	22.63414634
397_Ado_0818_18S	397	B	Adonara	2018	08_Aug18	TATI_a_1311	F	dry	Adonara_08_Aug18	10.9
398_Lat_0818_18S	398_421_458	B	Latalata	2018	08_Aug18	TATI_a_1434	F	dry	Latalata_08_Aug18	10.38888889
399_Bur_0818_18S	399_454_469	B	Buru	2018	08_Aug18	TATI_a_1375	M	dry	Buru_08_Aug18	82
400_Rin_0818_18S	400_425_470	B	Rinca	2018	08_Aug18	TATI_a_1541	F	dry	Rinca_08_Aug18	68.16326531
401_Bor_0818_18S	401_422_453	B	Bora	2018	08_Aug18	TATI_a_1364	F	dry	Bora_08_Aug18	142
402_Til_0818_18S	402_420_452	B	Tilos	2018	08_Aug18	TATI_a_1573	M	dry	Tilos_08_Aug18	70
403_Tor_0818_18S	403	F	Tortuga	2018	08_Aug18	TATI-a-566	F	dry	Tortuga_08_Aug18	33.88194444
404_May_0818_18S	404	F	Mayaguana	2018	08_Aug18	TATI-a-567	F	dry	Mayaguana_08_Aug18	70
405_Bon_0818_18S	405	F	Bonacca	2018	08_Aug18	TATI-a-568	F	dry	Bonacca_08_Aug18	10.79393939
406_Luc_0818_18S	406	F	Lucia	2018	08_Aug18	TATI-a-569	F	dry	Lucia_08_Aug18	226.8142857
407_Ban_0818_18S	407_427_455	B	Bangladesh	2018	08_Aug18	TATI_a_1355	M	dry	Bangladesh_08_Aug18	142
408_Alo_0818_18S	408_426_457	B	Aloha	2018	08_Aug18	TATI_a_1325	F	dry	Aloha_08_Aug18	81.81290323
412_Kas_0818_18S	412_444_465	J	Kasachstan	2018	08_Aug18	TATI_a_1413	M	dry	Kasachstan_08_Aug18	22.73015873
428_Tor_0818_18S	428	F	Tortuga	2018	08_Aug18	TATI-a-570	F	dry	Tortuga_08_Aug18	33.88194444
429_Luc_0818_18S	429	F	Lucia	2018	08_Aug18	TATI-a-571	F	dry	Lucia_08_Aug18	226.8142857
430_Cai_0818_18S	430	F	Caicos	2018	08_Aug18	TATI-a-572	M	dry	Caicos_08_Aug18	46
431_Pin_0818_18S	431	F	Pinos	2018	08_Aug18	TATI-a-573	M	dry	Pinos_08_Aug18	34
432_Bon_0818_18S	432	F	Bonacca	2018	08_Aug18	TATI-a-574	F	dry	Bonacca_08_Aug18	10.79393939
433_May_0818_18S	433	F	Mayaguana	2018	08_Aug18	TATI-a-575	F	dry	Mayaguana_08_Aug18	70
450_Luc_0818_18S	450	F	Lucia	2018	08_Aug18	TATI-a-576	F	dry	Lucia_08_Aug18	226.8142857
451_Cai_0818_18S	451	F	Caicos	2018	08_Aug18	TATI-a-577	M	dry	Caicos_08_Aug18	46
466_Tor_0818_18S	466	F	Tortuga	2018	08_Aug18	TATI-a-578	F	dry	Tortuga_08_Aug18	33.88194444
467_Pin_0818_18S	467	F	Pinos	2018	08_Aug18	TATI-a-579	M	dry	Pinos_08_Aug18	34
468_May_0818_18S	468	F	Mayaguana	2018	08_Aug18	TATI-a-580	F	dry	Mayaguana_08_Aug18	70
471_Cai_0918_18S	471	F	Caicos	2018	09_Sep18	TATI-a-581	M	dry	Caicos_09_Sep18	47
472_Pin_0918_18S	472	F	Pinos	2018	09_Sep18	TATI-a-582	M	dry	Pinos_09_Sep18	35
473_Bon_0918_18S	473	F	Bonacca	2018	09_Sep18	TATI-a-583	F	dry	Bonacca_09_Sep18	11.5
474_Tor_0918_18S	474	F	Tortuga	2018	09_Sep18	TATI-a-584	F	dry	Tortuga_09_Sep18	35
475_Arm_0918_18S	475_511_533	J	Armenia	2018	09_Sep18	TATI_a_1339	F	dry	Armenia_09_Sep18	11
477_Kas_0918_18S	499_508_530_555_570	J	Kasachstan	2018	09_Sep18	TATI_a_1414	M	dry	Kasachstan_09_Sep18	23.88253012
478_Par_0918_18S	478_481_567	A	Paros	2018	09_Sep18	TATI_a_1534	M	dry	Paros_09_Sep18	71
479_Tha_0918_18S	479_538_568	A	Thassos	2018	09_Sep18	TATI_a_1566	M	dry	Thassos_09_Sep18	22.49008499
480_Luz_0918_18S	480_536_566	A	Luzon	2018	09_Sep18	TATI_a_1490	M	dry	Luzon_09_Sep18	191
482_Lef_0918_18S	482_535_564	A	Lefkada	2018	09_Sep18	TATI_a_1481	F	dry	Lefkada_09_Sep18	57.91118421
483_Isa_0918_18S	483_537_565	A	Isabella	2018	09_Sep18	TATI_a_1397	F	dry	Isabella_09_Sep18	71
486_Cai_0918_18S	486	F	Caicos	2018	09_Sep18	TATI-a-585	M	dry	Caicos_09_Sep18	47
487_Luc_0918_18S	487	F	Lucia	2018	09_Sep18	TATI-a-586	F	dry	Lucia_09_Sep18	227.8481013
488_Pin_0918_18S	488	F	Pinos	2018	09_Sep18	TATI-a-587	M	dry	Pinos_09_Sep18	35
489_Tor_0918_18S	489	F	Tortuga	2018	09_Sep18	TATI-a-588	F	dry	Tortuga_09_Sep18	35
490_May_0918_18S	490	F	Mayaguana	2018	09_Sep18	TATI-a-589	F	dry	Mayaguana_09_Sep18	71
492_Syr_0918_18S	492_504_527_553	J	Syria	2018	09_Sep18	TATI_a_1547	F	dry	Syria_09_Sep18	59.2892562
496_Kuw_0918_18S	526_549_578	J	Kuwait	2018	09_Sep18	TATI_a_1426	M	dry	Kuwait_09_Sep18	46.44692737
497_Mon_0918_18S	497_507_532_548_577	J	Mongolei	2018	09_Sep18	TATI_a_1500	M	dry	Mongolei_09_Sep18	34.31020408
500_Til_0918_18S	500_515_542	B	Tilos	2018	09_Sep18	TATI_a_1574	M	dry	Tilos_09_Sep18	71
501_Rin_0918_18S	501_516	B	Rinca	2018	09_Sep18	TATI_a_1542	F	dry	Rinca_09_Sep18	69.70289855
502_Jac_0918_18S	502_518	B	Jaco	2018	09_Sep18	TATI_a_1405	M	dry	Jaco_09_Sep18	23.58918919
503_Bor_0918_18S	503_520	B	Bora	2018	09_Sep18	TATI_a_1365	F	dry	Bora_09_Sep18	143
510_Taj_0918_18S	510_525_551_576	J	Taji	2018	09_Sep18	TATI_a_1557	M	dry	Taji_09_Sep18	59
512_Pak_0918_18S	512_554_573	J	Pakistan	2018	09_Sep18	TATI_a_1524	M	dry	Pakistan_09_Sep18	155
513_Bah_0918_18S	513_531_557_574	J	Bahrain	2018	09_Sep18	TATI_a_1348	M	dry	Bahrain_09_Sep18	11.08712121
514_Oma_0918_18S	514	B	Oman	2018	09_Sep18	TATI_a_1512	M	dry	Oman_09_Sep18	59.04022989
517_Lat_0918_18S	517_539	B	Latalata	2018	09_Sep18	TATI_a_1435	F	dry	Latalata_09_Sep18	11.43324937
519_Alo_0918_18S	519_541	B	Aloha	2018	09_Sep18	TATI_a_1326	F	dry	Aloha_09_Sep18	82.95364238
521_Ban_0918_18S	521_540	B	Bangladesh	2018	09_Sep18	TATI_a_1356	M	dry	Bangladesh_09_Sep18	143
522_Ado_0918_18S	522	B	Adonara	2018	09_Sep18	TATI_a_1312	F	dry	Adonara_09_Sep18	11.73636364
523_Luc_0918_18S	523	F	Lucia	2018	09_Sep18	TATI-a-590	F	dry	Lucia_09_Sep18	227.8481013
524_Pin_0918_18S	524	F	Pinos	2018	09_Sep18	TATI-a-591	M	dry	Pinos_09_Sep18	35
543_Tor_0918_18S	543	F	Tortuga	2018	09_Sep18	TATI-a-592	F	dry	Tortuga_09_Sep18	35
544_Cai_0918_18S	544	F	Caicos	2018	09_Sep18	TATI-a-593	M	dry	Caicos_09_Sep18	47
545_May_0918_18S	545	F	Mayaguana	2018	09_Sep18	TATI-a-594	F	dry	Mayaguana_09_Sep18	71
546_Bon_0918_18S	546	F	Bonacca	2018	09_Sep18	TATI-a-595	F	dry	Bonacca_09_Sep18	11.5
558_Pin_0918_18S	558	F	Pinos	2018	09_Sep18	TATI-a-596	M	dry	Pinos_09_Sep18	35
559_Cai_0918_18S	559	F	Caicos	2018	09_Sep18	TATI-a-597	M	dry	Caicos_09_Sep18	47
560_May_0918_18S	560	F	Mayaguana	2018	09_Sep18	TATI-a-598	F	dry	Mayaguana_09_Sep18	71
561_Bon_0918_18S	561	F	Bonacca	2018	09_Sep18	TATI-a-599	F	dry	Bonacca_09_Sep18	11.5
562_Tor_0918_18S	562	F	Tortuga	2018	09_Sep18	TATI-a-600	F	dry	Tortuga_09_Sep18	35
563_Luc_0918_18S	563	F	Lucia	2018	09_Sep18	TATI-a-601	F	dry	Lucia_09_Sep18	227.8481013
580_Kas_1018_18S	580	J	Kasachstan	2018	10_Oct18	TATI_a_1415	M	dry	Kasachstan_10_Oct18	24.11627907
581_Pak_1018_18S	581_633	J	Pakistan	2018	10_Oct18	TATI_a_1525	M	dry	Pakistan_10_Oct18	156
582_Afg_1018_18S	582_635	J	Afganistan	2018	10_Oct18	TATI_a_1318	M	dry	Afganistan_10_Oct18	12
583_Kuw_1018_18S	583	J	Kuwait	2018	10_Oct18	TATI_a_1427	M	dry	Kuwait_10_Oct18	47.23404255
584_Syr_1018_18S	584	J	Syria	2018	10_Oct18	TATI_a_1548	F	dry	Syria_10_Oct18	60
586_Alo_1018_18S	586_606	B	Aloha	2018	10_Oct18	TATI_a_1327	F	dry	Aloha_10_Oct18	84
587_Ban_1018_18S	587_611_631	B	Bangladesh	2018	10_Oct18	TATI_a_1357	M	dry	Bangladesh_10_Oct18	144
588_Bor_1018_18S	588_613	B	Bora	2018	10_Oct18	TATI_a_1366	F	dry	Bora_10_Oct18	144
589_Oma_1018_18S	589_612	B	Oman	2018	10_Oct18	TATI_a_1513	M	dry	Oman_10_Oct18	60
590_Rin_1018_18S	590_610	B	Rinca	2018	10_Oct18	TATI_a_1543	F	dry	Rinca_10_Oct18	70.5942029
591_Tor_1018_18S	591	F	Tortuga	2018	10_Oct18	TATI-a-602	F	dry	Tortuga_10_Oct18	36
592_Cai_1018_18S	592	F	Caicos	2018	10_Oct18	TATI-a-603	M	dry	Caicos_10_Oct18	48
593_May_1018_18S	593	F	Mayaguana	2018	10_Oct18	TATI-a-604	F	dry	Mayaguana_10_Oct18	72
594_Pin_1018_18S	594	F	Pinos	2018	10_Oct18	TATI-a-605	M	dry	Pinos_10_Oct18	36
595_Bon_1018_18S	595	F	Bonacca	2018	10_Oct18	TATI-a-606	F	dry	Bonacca_10_Oct18	12.47938144
596_Luc_1018_18S	596	F	Lucia	2018	10_Oct18	TATI-a-607	F	dry	Lucia_10_Oct18	228.3615385
597_Isa_1018_18S	597_602	A	Isabella	2018	10_Oct18	TATI_a_1398	F	dry	Isabella_10_Oct18	72
598_Luz_1018_18S	598_603	A	Luzon	2018	10_Oct18	TATI_a_1491	M	dry	Luzon_10_Oct18	192
599_Tha_1018_18S	599_605_620	A	Thassos	2018	10_Oct18	TATI_a_1567	M	dry	Thassos_10_Oct18	23.32592593
600_Par_1018_18S	600_601_618	A	Paros	2018	10_Oct18	TATI_a_1535	M	dry	Paros_10_Oct18	72
604_Lef_1018_18S	604_619	A	Lefkada	2018	10_Oct18	TATI_a_1482	F	dry	Lefkada_10_Oct18	58.25477707
607_Jac_1018_18S	607_614	B	Jaco	2018	10_Oct18	TATI_a_1406	M	dry	Jaco_10_Oct18	24.39855072
609_Lat_1018_18S	609_615	B	Latalata	2018	10_Oct18	TATI_a_1436	F	dry	Latalata_10_Oct18	12
61_Bah_0418_18S	61	J	Bahrain	2018	04_Apr18	TATI_a_11	M	dry	Bahrain_04_Apr18	NA
616_Bon_1018_18S	616	F	Bonacca	2018	10_Oct18	TATI-a-608	F	dry	Bonacca_10_Oct18	12.47938144
617_Taj_1018_18S	617B	J	Taji	2018	10_Oct18	TATI_a_1558	M	dry	Taji_10_Oct18	60
617_Tor_1018_18S	617	F	Tortuga	2018	10_Oct18	TATI-a-609	F	dry	Tortuga_10_Oct18	36
621_Mon_1118_18S	621	J	Mongolei	2018	11_Nov18	TATI_a_1502	M	rainy	Mongolei_11_Nov18	36.5
623_Taj_1118_18S	623	J	Taji	2018	11_Nov18	TATI_a_1559	M	rainy	Taji_11_Nov18	61
624_Pak_1118_18S	624	J	Pakistan	2018	11_Nov18	TATI_a_1526	M	rainy	Pakistan_11_Nov18	157
626_Kas_1118_18S	626	J	Kasachstan	2018	11_Nov18	TATI_a_1416	M	rainy	Kasachstan_11_Nov18	25.57142857
627_Par_1118_18S	627_643	A	Paros	2018	11_Nov18	TATI_a_1536	M	rainy	Paros_11_Nov18	73
628_Luz_1118_18S	628_670_679	A	Luzon	2018	11_Nov18	TATI_a_1492	M	rainy	Luzon_11_Nov18	193
629_Lef_1118_18S	629_654	A	Lefkada	2018	11_Nov18	TATI_a_1483	F	rainy	Lefkada_11_Nov18	59.69587629
634_Cam_1018_18S	634	J	Cambodia	2018	10_Oct18	TATI_a_1379	F	dry	Cambodia_10_Oct18	204.5
636_Mon_1018_18S	636	J	Mongolei	2018	10_Oct18	TATI_a_1501	M	dry	Mongolei_10_Oct18	35.46825397
637_Arm_1018_18S	637	J	Armenia	2018	10_Oct18	TATI_a_1340	F	dry	Armenia_10_Oct18	12
638_Bor_1118_18S	638_651	B	Bora	2018	11_Nov18	TATI_a_1367	F	rainy	Bora_11_Nov18	145.0186047
639_Alo_1118_18S	639_652_672	B	Aloha	2018	11_Nov18	TATI_a_1328	F	rainy	Aloha_11_Nov18	84.48181818
640_Jac_1118_18S	640_650_665_676	B	Jaco	2018	11_Nov18	TATI_a_1407	M	rainy	Jaco_11_Nov18	25.78181818
641_Lat_1118_18S	641_674	B	Latalata	2018	11_Nov18	TATI_a_1437	F	rainy	Latalata_11_Nov18	13
642_Til_1118_18S	642_671	B	Tilos	2018	11_Nov18	TATI_a_1575	M	rainy	Tilos_11_Nov18	73
644_Pin_1118_18S	644	F	Pinos	2018	11_Nov18	TATI-a-610	M	rainy	Pinos_11_Nov18	37
645_May_1118_18S	645	F	Mayaguana	2018	11_Nov18	TATI-a-611	F	rainy	Mayaguana_11_Nov18	73
646_Bon_1118_18S	646	F	Bonacca	2018	11_Nov18	TATI-a-612	F	rainy	Bonacca_11_Nov18	14
647_Luc_1118_18S	647	F	Lucia	2018	11_Nov18	TATI-a-613	F	rainy	Lucia_11_Nov18	230
653_Oma_1118_18S	653	B	Oman	2018	11_Nov18	TATI_a_1514	M	rainy	Oman_11_Nov18	61
656_Isa_1118_18S	656_677	A	Isabella	2018	11_Nov18	TATI_a_1399	F	rainy	Isabella_11_Nov18	73
657_Bah_1118_18S	657_684	J	Bahrain	2018	11_Nov18	TATI_a_1349	M	rainy	Bahrain_11_Nov18	13
658_Syr_1118_18S	658_660	J	Syria	2018	11_Nov18	TATI_a_1549	F	rainy	Syria_11_Nov18	61.27472527
662_Col_1118_18S	662_680	J	Colanta	2018	11_Nov18	TATI_a_1388	F	rainy	Colanta_11_Nov18	109
675_Ado_1018_18S	675	B	Adonara	2018	10_Oct18	TATI_a_1313	F	dry	Adonara_10_Oct18	12.54589372
692_Bor_1218_18S	692_731	B	Bora	2018	12_Dec18	TATI_a_1368	F	rainy	Bora_12_Dec18	146
694_Til_1218_18S	694	B	Tilos	2018	12_Dec18	TATI_a_1576	M	rainy	Tilos_12_Dec18	74
696_Luz_1218_18S	696	A	Luzon	2018	12_Dec18	TATI_a_1493	M	rainy	Luzon_12_Dec18	194
697_Syr_1218_18S	697_715	J	Syria	2018	12_Dec18	TATI_a_1550	F	rainy	Syria_12_Dec18	62
698_Cam_1218_18S	698_727	J	Cambodia	2018	12_Dec18	TATI_a_1380	F	rainy	Cambodia_12_Dec18	206
