SampleID	nsample	group	individual	year	month_year	tag	sex	season	individual_month	age_months
77_Cai_0418_18S	77	F	Caicos	2018	04_Apr18	TATI-a-373	M	dry	Caicos_04_Apr18	NA
770_Tor_0219_18S	770	F	Tortuga	2019	02_Feb19	TATI-a-710	F	rainy	Tortuga_02_Feb19	40
772_Kuw_0219_18S	772_790	J	Kuwait	2019	02_Feb19	TATI_a_1429	M	rainy	Kuwait_02_Feb19	51
773_Syr_0219_18S	773_787_803	J	Syria	2019	02_Feb19	TATI_a_1552	F	rainy	Syria_02_Feb19	64.37078652
774_Kas_0219_18S	774_783_802	J	Kasachstan	2019	02_Feb19	TATI_a_1418	M	rainy	Kasachstan_02_Feb19	29
775_Col_0219_18S	775_788	J	Colanta	2019	02_Feb19	TATI_a_1390	F	rainy	Colanta_02_Feb19	112
776_Afg_0219_18S	776_805	J	Afganistan	2019	02_Feb19	TATI_a_1320	M	rainy	Afganistan_02_Feb19	16
777_Taj_0219_18S	777_786_806	J	Taji	2019	02_Feb19	TATI_a_1560	M	rainy	Taji_02_Feb19	64
778_Mon_0219_18S	778_784	J	Mongolei	2019	02_Feb19	TATI_a_1505	M	rainy	Mongolei_02_Feb19	39.56060606
779_Bah_0219_18S	779_785	J	Bahrain	2019	02_Feb19	TATI_a_1351	M	rainy	Bahrain_02_Feb19	16
78_Tor_0418_18S	78	F	Tortuga	2018	04_Apr18	TATI-a-374	F	dry	Tortuga_04_Apr18	NA
780_Cam_0219_18S	780_804	J	Cambodia	2019	02_Feb19	TATI_a_1381	F	rainy	Cambodia_02_Feb19	208.5079365
79_May_0418_18S	79	F	Mayaguana	2018	04_Apr18	TATI-a-375	F	dry	Mayaguana_04_Apr18	NA
797_Bon_0219_18S	797	F	Bonacca	2019	02_Feb19	TATI-a-760	F	rainy	Bonacca_02_Feb19	16.61320755
798_May_0219_18S	798	F	Mayaguana	2019	02_Feb19	TATI-a-761	F	rainy	Mayaguana_02_Feb19	76
799_Pin_0219_18S	799	F	Pinos	2019	02_Feb19	TATI-a-762	M	rainy	Pinos_02_Feb19	40
80_Luc_0418_18S	80	F	Lucia	2018	04_Apr18	TATI-a-376	F	dry	Lucia_04_Apr18	NA
800_Tor_0219_18S	800	F	Tortuga	2019	02_Feb19	TATI-a-763	F	rainy	Tortuga_02_Feb19	40
801_Luc_0219_18S	801	F	Lucia	2019	02_Feb19	TATI-a-764	F	rainy	Lucia_02_Feb19	233
81_Bon_0418_18S	81	F	Bonacca	2018	04_Apr18	TATI-a-13	F	dry	Bonacca_04_Apr18	NA
814_Taj_0319_18S	814	J	Taji	2019	03_Mar19	TATI_a_1561	M	rainy	Taji_03_Mar19	65
815_Mon_0319_18S	815_851	J	Mongolei	2019	03_Mar19	TATI_a_1506	M	rainy	Mongolei_03_Mar19	40.53703704
817_Col_0319_18S	817	J	Colanta	2019	03_Mar19	TATI_a_1391	F	rainy	Colanta_03_Mar19	113
820_Cam_0319_18S	820_847	J	Cambodia	2019	03_Mar19	TATI_a_1382	F	rainy	Cambodia_03_Mar19	209.3297872
821_Pak_0319_18S	821_848	J	Pakistan	2019	03_Mar19	TATI_a_1528	M	rainy	Pakistan_03_Mar19	161
822_Arm_0319_18S	822_849	J	Armenia	2019	03_Mar19	TATI_a_1342	F	rainy	Armenia_03_Mar19	17
823_Kas_0319_18S	823_850	J	Kasachstan	2019	03_Mar19	TATI_a_1419	M	rainy	Kasachstan_03_Mar19	30
826_Bor_0319_18S	826_854	B	Bora	2019	03_Mar19	TATI_a_1371	F	rainy	Bora_03_Mar19	149
827_Alo_0319_18S	827_855	B	Aloha	2019	03_Mar19	TATI_a_1331	F	rainy	Aloha_03_Mar19	89
830_Oma_0319_18S	830_858	B	Oman	2019	03_Mar19	TATI_a_1518	M	rainy	Oman_03_Mar19	65.11009174
831_Ban_0319_18S	831_859	B	Bangladesh	2019	03_Mar19	TATI_a_1360	M	rainy	Bangladesh_03_Mar19	149
832_Luz_0319_18S	832	A	Luzon	2019	03_Mar19	TATI_a_1494	M	rainy	Luzon_03_Mar19	197
833_Amo_0319_18S	833	A	Amorgos	2018	03_Mar19	TATI_a_1333	M	rainy	Amorgos_03_Mar19	89
834_Tha_0319_18S	834	A	Thassos	2019	03_Mar19	TATI_a_1569	M	rainy	Thassos_03_Mar19	29
835_Til_0319_18S	835	A	Tilos	2019	03_Mar19	TATI_a_1577	M	rainy	Tilos_03_Mar19	77
836_Par_0319_18S	836	A	Paros	2019	03_Mar19	TATI_a_1538	M	rainy	Paros_03_Mar19	77
837_Kea_0319_18S	837	A	Kea	2019	03_Mar19	TATI_a_1421	F	rainy	Kea_03_Mar19	5
838_Isa_0319_18S	838	A	Isabella	2019	03_Mar19	TATI_a_1401	F	rainy	Isabella_03_Mar19	77
842_Pin_0319_18S	842	F	Pinos	2019	03_Mar19	TATI-a-765	M	rainy	Pinos_03_Mar19	41
860_Cai_0319_18S	860	F	Caicos	2019	03_Mar19	TATI-a-766	M	rainy	Caicos_03_Mar19	53
861_Bon_0319_18S	861	F	Bonacca	2019	03_Mar19	TATI-a-767	F	rainy	Bonacca_03_Mar19	18
862_May_0319_18S	862	F	Mayaguana	2019	03_Mar19	TATI-a-768	F	rainy	Mayaguana_03_Mar19	77
864_Luc_0319_18S	864	F	Lucia	2019	03_Mar19	TATI-a-769	F	rainy	Lucia_03_Mar19	234
869_Lat_0419_18S	869_886_930	B	Latalata	2019	04_Apr19	TATI_a_1476	F	dry	Latalata_04_Apr19	18.23569024
870_Oma_0419_18S	870_888_934	B	Oman	2019	04_Apr19	TATI_a_1519	M	dry	Oman_04_Apr19	66.15434783
871_May_0319_18S	871	F	Mayaguana	2019	03_Mar19	TATI-a-770	F	rainy	Mayaguana_03_Mar19	77
873_Luc_0319_18S	873	F	Lucia	2019	03_Mar19	TATI-a-771	F	rainy	Lucia_03_Mar19	234
874_Cai_0319_18S	874	F	Caicos	2019	03_Mar19	TATI-a-772	M	rainy	Caicos_03_Mar19	53
875_Pin_0319_18S	875	F	Pinos	2019	03_Mar19	TATI-a-773	M	rainy	Pinos_03_Mar19	41
876_Tor_0319_18S	876	F	Tortuga	2019	03_Mar19	TATI-a-774	F	rainy	Tortuga_03_Mar19	41
877_Luz_0419_18S	877_896_927	A	Luzon	2019	04_Apr19	TATI_a_1495	M	dry	Luzon_04_Apr19	198
878_Lef_0419_18S	878_895_928	A	Lefkada	2019	04_Apr19	TATI_a_1485	F	dry	Lefkada_04_Apr19	64.77532228
88_Bon_0418_18S	88	F	Bonacca	2018	04_Apr18	TATI-a-377	F	dry	Bonacca_04_Apr18	NA
883_Amo_0419_18S	883_898	A	Amorgos	2018	04_Apr19	TATI_a_1334	M	dry	Amorgos_04_Apr19	90
889_Luc_0419_18S	889	F	Lucia	2019	04_Apr19	TATI-a-775	F	dry	Lucia_04_Apr19	234.8404255
89_Jac_0518_18S	89	B	Jaco	2018	05_May18	TATI_a_14	M	dry	Jaco_05_May18	19.49640288
890_Tor_0419_18S	890	F	Tortuga	2019	04_Apr19	TATI-a-776	F	dry	Tortuga_04_Apr19	42
891_Cai_0419_18S	891	F	Caicos	2019	04_Apr19	TATI-a-807	M	dry	Caicos_04_Apr19	54
892_May_0419_18S	892	F	Mayaguana	2019	04_Apr19	TATI-a-808	F	dry	Mayaguana_04_Apr19	78
893_Bon_0419_18S	893	F	Bonacca	2019	04_Apr19	TATI-a-809	F	dry	Bonacca_04_Apr19	18.34104046
90_Lat_0518_18S	90_125_168	B	Latalata	2018	05_May18	TATI_a_1431	F	dry	Latalata_05_May18	7.443609023
901_Pin_0419_18S	901	F	Pinos	2019	04_Apr19	TATI-a-810	M	dry	Pinos_04_Apr19	42
902_Cam_0419_18S	902_921_940	J	Cambodia	2019	04_Apr19	TATI_a_1383	F	dry	Cambodia_04_Apr19	210.5273438
903_Kas_0419_18S	903_915_943	J	Kasachstan	2019	04_Apr19	TATI_a_1420	M	dry	Kasachstan_04_Apr19	31
904_Afg_0419_18S	904_923_935	J	Afganistan	2019	04_Apr19	TATI_a_1321	M	dry	Afganistan_04_Apr19	18
905_Mon_0419_18S	905_917	J	Mongolei	2019	04_Apr19	TATI_a_1507	M	dry	Mongolei_04_Apr19	41.12631579
906_Col_0419_18S	906_913_941_947	J	Colanta	2019	04_Apr19	TATI_a_1392	F	dry	Colanta_04_Apr19	113.8695652
907_Pak_0419_18S	907_918_937_948	J	Pakistan	2019	04_Apr19	TATI_a_1529	M	dry	Pakistan_04_Apr19	162
908_Arm_0419_18S	908_922_938_946	J	Armenia	2019	04_Apr19	TATI_a_1343	F	dry	Armenia_04_Apr19	18
909_Syr_0419_18S	909_914_944	J	Syria	2019	04_Apr19	TATI_a_1553	F	dry	Syria_04_Apr19	66.3442623
91_Alo_0518_18S	91_122_166	B	Aloha	2018	05_May18	TATI_a_1322	F	dry	Aloha_05_May18	78.78280543
911_Kuw_0419_18S	911_919_945	J	Kuwait	2019	04_Apr19	TATI_a_1430	M	dry	Kuwait_04_Apr19	53.37745098
92_Kas_0518_18S	92_130_152	J	Kasachstan	2018	05_May18	TATI_a_1410	M	dry	Kasachstan_05_May18	19.89893617
93_Arm_0518_18S	93_134_157	J	Armenia	2018	05_May18	TATI_a_1335	F	dry	Armenia_05_May18	7
95_Mon_0518_18S	95_129_156	J	Mongolei	2018	05_May18	TATI_a_1496	M	dry	Mongolei_05_May18	30.47761194
97_Pak_0518_18S	97_137_150	J	Pakistan	2018	05_May18	TATI_a_1520	M	dry	Pakistan_05_May18	151
98_Afg_0518_18S	98_138_154	J	Afganistan	2018	05_May18	TATI_a_1315	M	dry	Afganistan_05_May18	7
99_Kuw_0518_18S	99_135_151	J	Kuwait	2018	05_May18	TATI_a_1422	M	dry	Kuwait_05_May18	42.36363636
