ntab	code	nfocal	day	month	year	individual	group	length_focalsec	length_focalh
3	A5	5	3	9	2018	Mayaguana	F	1836	0.51
2	P173	173	30	7	2018	Adonara	B	1858	0.516111111
3	P174	174	25	9	2018	Bora	B	1864	0.517777778
3	P175	175	25	9	2018	Oman	B	1864	0.517777778
3	A77	77	29	9	2018	Mayaguana	F	1805	0.501388889
2	M223	223	6	8	2018	Bonacca	F	1812	0.503333333
3	P176	176	25	9	2018	Adonara	B	1876	0.521111111
3	A11	11	5	9	2018	Mayaguana	F	1779	0.494166667
4	Ti137	137	21	9	2018	Mayaguana	F	1811	0.503055556
3	P177	177	25	9	2018	Bangladesh	B	1857	0.515833333
2	M224	224	6	8	2018	Lucia	F	1812	0.503333333
3	M225	225	6	8	2018	Mayaguana	F	1818	0.505
4	J41	41	24	9	2018	Mayaguana	F	1852	0.514444444
3	M226	226	6	8	2018	Pinos	F	1867	0.518611111
2	Ta106	106	13	7	2018	Mayaguana	F	1829	0.508055556
3	A32	32	13	9	2018	Mayaguana	F	1800	0.5
4	Ti155	155	23	9	2018	Mayaguana	F	1819	0.505277778
1	Ta13	13	9	5	2018	Mayaguana	F	1782	0.495
2	Ta77	77	20	6	2018	Mayaguana	F	1804	0.501111111
3	Ta135	135	27	7	2018	Mayaguana	F	1803	0.500833333
4	J23	23	18	9	2018	Mayaguana	F	1780	0.494444444
3	P178	178	25	9	2018	Latalata	B	1880	0.522222222
2	M227	227	6	8	2018	Tortuga	F	1810	0.502777778
1	L16	16	1	6	2018	Mongolei	J	1812	0.503333333
2	Ta162	162	17	8	2018	Mongolei	J	1871	0.519722222
3	P179	179	25	9	2018	Tilos	B	1882	0.522777778
1	L59	59	1	7	2018	Mongolei	J	1810	0.502777778
4	P180	180	25	9	2018	Paros	A	1841	0.511388889
3	A83	83	1	10	2018	Mongolei	J	1799	0.499722222
4	P181	181	25	9	2018	Thassos	A	1864	0.517777778
2	M228	228	19	8	2018	Bora	B	1811	0.503055556
3	A41	41	16	9	2018	Mongolei	J	1772	0.492222222
2	M229	229	19	8	2018	Latalata	B	1820	0.505555556
4	P182	182	25	9	2018	Luzon	A	1830	0.508333333
2	Ti168	168	9	10	2018	Mongolei	J	1829	0.508055556
4	P183	183	25	9	2018	Lefkada	A	1836	0.51
1	Ti25	25	3	5	2018	Mongolei	J	1913	0.531388889
2	M230	230	19	8	2018	Oman	B	1815	0.504166667
3	P184	184	26	9	2018	Isabella	A	1839	0.510833333
3	Ti161	161	24	9	2018	Mongolei	J	1821	0.505833333
1	L7	7	23	5	2018	Mongolei	J	1853	0.514722222
2	M231	231	19	8	2018	Jaco	B	1819	0.505277778
3	Ti121	121	19	9	2018	Mongolei	J	1812	0.503333333
2	M232	232	19	8	2018	Aloha	B	1819	0.505277778
2	M233	233	19	8	2018	Buru	B	1827	0.5075
3	A26	26	12	9	2018	Mongolei	J	1812	0.503333333
4	J44	44	25	9	2018	Mongolei	J	1807	0.501944444
1	Ta64	64	15	6	2018	Mongolei	J	1775	0.493055556
2	Ta98	98	11	7	2018	Mongolei	J	1852	0.514444444
2	M234	234	21	8	2018	Taji	J	1818	0.505
4	P185	185	26	9	2018	Luzon	A	1850	0.513888889
2	Ti72	72	20	6	2018	Mongolei	J	1804	0.501111111
4	P186	186	26	9	2018	Paros	A	1843	0.511944444
4	J9	9	8	9	2018	Mongolei	J	1749	0.485833333
1	Ta20	20	12	5	2018	Mongolei	J	1805	0.501388889
2	Ta69	69	18	6	2018	Mongolei	J	1805	0.501388889
3	Ta179	179	28	8	2018	Mongolei	J	1932	0.536666667
2	M235	235	21	8	2018	Bahrain	J	1822	0.506111111
3	P187	187	26	9	2018	Lefkada	A	1834	0.509444444
2	M236	236	21	8	2018	Kasachstan	J	1810	0.502777778
1	L8	8	24	5	2018	Oman	B	1898	0.527222222
2	M237	237	21	8	2018	Pakistan	J	1813	0.503611111
3	P189	189	26	9	2018	Taji	J	1859	0.516388889
3	M238	238	21	8	2018	Kuwait	J	1812	0.503333333
2	M239	239	21	8	2018	Syria	J	1832	0.508888889
3	M240	240	21	8	2018	Bangladesh	B	1814	0.503888889
4	Ti236	236	5	11	2018	Oman	B	1813	0.503611111
4	P190	190	26	9	2018	Kuwait	J	1854	0.515
3	P191	191	26	9	2018	Bahrain	J	1876	0.521111111
3	M241	241	21	8	2018	Tilos	B	1807	0.501944444
1	L37	37	14	6	2018	Oman	B	1862	0.517222222
2	A18	18	6	9	2018	Oman	B	1769	0.491388889
4	P192	192	26	9	2018	Cambodia	J	1897	0.526944444
3	P193	193	27	9	2018	Pakistan	J	1861	0.516944444
3	M242	242	21	8	2018	Oman	B	1813	0.503611111
3	P194	194	27	9	2018	Kasachstan	J	1856	0.515555556
1	Ti27	27	3	5	2018	Oman	B	2078	0.577222222
2	Ta82	82	1	7	2018	Oman	B	1832	0.508888889
3	M243	243	21	8	2018	Adonara	B	1833	0.509166667
3	J24	24	19	9	2018	Oman	B	1844	0.512222222
1	Ta31	31	21	5	2018	Oman	B	1830	0.508333333
2	Ta150	150	13	8	2018	Oman	B	1803	0.500833333
2	M244	244	22	8	2018	Tortuga	F	1805	0.501388889
3	P195	195	27	9	2018	Armenia	J	1852	0.514444444
1	Ti9	9	1	5	2018	Oman	B	1907	0.529722222
2	Ta72	72	19	6	2018	Oman	B	1836	0.51
3	M245	245	22	8	2018	Caicos	F	1812	0.503333333
4	J38	38	22	9	2018	Oman	B	1823	0.506388889
3	M246	246	22	8	2018	Mayaguana	F	1809	0.5025
2	Ta119	119	16	7	2018	Oman	B	1814	0.503888889
3	J3	3	5	9	2018	Oman	B	1798	0.499444444
3	M247	247	22	8	2018	Lucia	F	1810	0.502777778
2	M248	248	22	8	2018	Bonacca	F	1818	0.505
2	M249	249	22	8	2018	Pinos	F	1817	0.504722222
1	L76	76	6	7	2018	Pakistan	J	1854	0.515
3	P196	196	27	9	2018	Syria	J	1894	0.526111111
3	P197	197	27	9	2018	Colanta	J	1861	0.516944444
3	M250	250	22	8	2018	Lefkada	A	1826	0.507222222
4	M251	251	22	8	2018	Paros	A	1795	0.498611111
3	M252	252	22	8	2018	Thassos	A	1811	0.503055556
3	M253	253	22	8	2018	Isabella	A	1831	0.508611111
1	L18	18	1	6	2018	Pakistan	J	1726	0.479444444
3	M254	254	23	8	2018	Thassos	A	1822	0.506111111
3	Ti104	104	30	8	2018	Pakistan	J	1824	0.506666667
3	P198	198	4	10	2018	Jaco	B	1865	0.518055556
3	M255	255	23	8	2018	Isabella	A	1819	0.505277778
3	Ti194	194	31	10	2018	Pakistan	J	1808	0.502222222
3	P199	199	4	10	2018	Rinca	B	1894	0.526111111
2	Ta165	165	17	8	2018	Pakistan	J	1751	0.486388889
2	M256	256	23	8	2018	Luzon	A	1815	0.504166667
3	P200	200	4	10	2018	Bora	B	1894	0.526111111
3	M257	257	23	8	2018	Paros	A	1822	0.506111111
3	P201	201	4	10	2018	Adonara	B	1879	0.521944444
3	P202	202	4	10	2018	Buru	B	1879	0.521944444
3	M258	258	11	9	2018	Kuwait	J	1813	0.503611111
3	A68	68	28	9	2018	Pakistan	J	1798	0.499444444
1	Ta27	27	18	5	2018	Pakistan	J	1810	0.502777778
2	Ta87	87	2	7	2018	Pakistan	J	1840	0.511111111
3	Ta140	140	8	7	2018	Pakistan	J	1817	0.504722222
4	A27	27	12	9	2018	Pakistan	J	1818	0.505
1	Ta61	61	14	6	2018	Pakistan	J	1830	0.508333333
3	M259	259	11	9	2018	Pakistan	J	1829	0.508055556
2	M260	260	13	9	2018	Buru	B	1816	0.504444444
4	J34	34	21	9	2018	Pakistan	J	1803	0.500833333
1	Ta81	81	29	6	2018	Pakistan	J	1890	0.525
3	P203	203	4	10	2018	Oman	B	1874	0.520555556
2	M261	261	13	9	2018	Tilos	B	1809	0.5025
4	P204	204	4	10	2018	Isabella	A	1835	0.509722222
2	M262	262	13	9	2018	Aloha	B	1814	0.503888889
5	P205	205	4	10	2018	Paros	A	1846	0.512777778
3	Ti132	132	21	9	2018	Paros	A	1816	0.504444444
1	Ti1	1	1	5	2018	Paros	A	1867	0.518611111
2	L21	21	4	6	2018	Paros	A	1815	0.504166667
3	A35	35	15	9	2018	Paros	A	1800	0.5
4	P206	206	4	10	2018	Thassos	A	1844	0.512222222
3	M263	263	13	9	2018	Oman	B	1814	0.503888889
3	M264	264	13	9	2018	Bora	B	1903	0.528611111
2	M265	265	13	9	2018	Latalata	B	1817	0.504722222
5	P207	207	4	10	2018	Lefkada	A	1853	0.514722222
4	P208	208	5	10	2018	Kasachstan	J	1894	0.526111111
3	M266	266	13	9	2018	Paros	A	1817	0.504722222
4	P209	209	5	10	2018	Kasachstan	J	1847	0.513055556
4	A91	91	3	10	2018	Paros	A	1801	0.500277778
5	Ti206	206	1	11	2018	Paros	A	1816	0.504444444
3	P210	210	5	10	2018	Kuwait	J	1853	0.514722222
2	Ti68	68	20	6	2018	Paros	A	1808	0.502222222
4	M267	267	13	9	2018	Isabella	A	1817	0.504722222
1	L48	48	16	6	2018	Paros	A	1844	0.512222222
3	Ti90	90	28	8	2018	Paros	A	1813	0.503611111
2	A48	48	17	9	2018	Paros	A	1781	0.494722222
3	M268	268	13	9	2018	Luzon	A	1821	0.505833333
2	Ti74	74	17	7	2018	Paros	A	1893	0.525833333
2	M269	269	15	9	2018	Bangladesh	B	1820	0.505555556
4	P211	211	5	10	2018	Colanta	J	1843	0.511944444
3	P212	212	5	10	2018	Bahrain	J	1841	0.511388889
2	M270	270	15	9	2018	Jaco	B	1812	0.503333333
3	M271	271	15	9	2018	Aloha	B	1812	0.503333333
2	M272	272	15	9	2018	Tilos	B	1820	0.505555556
3	P213	213	5	10	2018	Pakistan	J	1879	0.521944444
4	P214	214	5	10	2018	Lucia	F	1871	0.519722222
2	Ta130	130	26	7	2018	Paros	A	1797	0.499166667
3	Ta159	159	16	8	2018	Paros	A	1822	0.506111111
4	A80	80	30	9	2018	Paros	A	1801	0.500277778
5	Ti173	173	9	10	2018	Paros	A	1821	0.505833333
1	Ta56	56	3	6	2018	Paros	A	1806	0.501666667
2	M273	273	15	9	2018	Adonara	B	1811	0.503055556
3	M274	274	14	9	2018	Buru	B	1822	0.506111111
4	J31	31	20	9	2018	Paros	A	1790	0.497222222
3	M275	275	14	9	2018	Oman	B	1814	0.503888889
5	P215	215	5	10	2018	Tortuga	F	1888	0.524444444
4	P216	216	5	10	2018	Bonacca	F	1890	0.525
4	P217	217	5	10	2018	Pinos	F	1864	0.517777778
3	M276	276	14	9	2018	Tilos	B	1825	0.506944444
3	M277	277	14	9	2018	Rinca	B	1816	0.504444444
1	L1	1	22	5	2018	Pinos	F	1846	0.512777778
2	L72	72	4	7	2018	Pinos	F	1806	0.501666667
3	Ta161	161	15	8	2018	Pinos	F	1816	0.504444444
3	M278	278	14	9	2018	Syria	J	1822	0.506111111
2	L29	29	7	6	2018	Pinos	F	1869	0.519166667
3	A4	4	3	9	2018	Pinos	F	1682	0.467222222
4	A75	75	29	9	2018	Pinos	F	1828	0.507777778
1	L33	33	12	6	2018	Pinos	F	1918	0.532777778
4	P218	218	7	10	2018	Thassos	A	1843	0.511944444
2	M279	279	14	9	2018	Taji	J	1814	0.503888889
4	P219	219	7	10	2018	Paros	A	1840	0.511111111
2	M280	280	14	9	2018	Afganistan	J	1813	0.503611111
3	M281	281	14	9	2018	Colanta	J	1817	0.504722222
4	Ti146	146	22	9	2018	Pinos	F	1822	0.506111111
4	P220	220	7	10	2018	Luzon	A	1844	0.512222222
2	Ta153	153	14	8	2018	Pinos	F	1833	0.509166667
3	A59	59	20	9	2018	Pinos	F	1799	0.499722222
4	J40	40	24	9	2018	Pinos	F	1859	0.516388889
2	M282	282	14	9	2018	Bahrain	J	1812	0.503333333
2	Ta75	75	20	6	2018	Pinos	F	1803	0.500833333
3	A31	31	13	9	2018	Pinos	F	1796	0.498888889
4	Ti154	154	23	9	2018	Pinos	F	1821	0.505833333
4	P221	221	7	10	2018	Lefkada	A	1849	0.513611111
2	M283	283	14	9	2018	Cambodia	J	1812	0.503333333
3	J22	22	18	9	2018	Pinos	F	1791	0.4975
4	A95	95	4	10	2018	Pinos	F	1791	0.4975
1	Ta26	26	16	5	2018	Pinos	F	1838	0.510555556
4	P222	222	7	10	2018	Isabella	A	1846	0.512777778
3	M284	284	12	9	2018	Caicos	F	1811	0.503055556
4	P223	223	7	10	2018	Jaco	B	1840	0.511111111
4	P224	224	7	10	2018	Oman	B	1835	0.509722222
3	M285	285	12	9	2018	Mayaguana	F	1812	0.503333333
1	Ti11	11	2	5	2018	Rinca	B	1898	0.527222222
2	L54	54	20	6	2018	Rinca	B	1873	0.520277778
3	A15	15	6	9	2018	Rinca	B	1795	0.498611111
4	P225	225	7	10	2018	Rinca	B	1848	0.513333333
3	M286	286	12	9	2018	Tortuga	F	1823	0.506388889
4	P226	226	7	10	2018	Buru	B	1834	0.509444444
3	P227	227	8	10	2018	Tortuga	F	1854	0.515
2	Ti84	84	19	7	2018	Rinca	B	1900	0.527777778
3	Ti108	108	18	9	2018	Rinca	B	1821	0.505833333
3	M287	287	12	9	2018	Pinos	F	1818	0.505
2	L68	68	3	7	2018	Rinca	B	1823	0.506388889
3	A65	65	27	9	2018	Rinca	B	1813	0.503611111
3	P228	228	8	10	2018	Bonacca	F	1915	0.531944444
4	P229	229	8	10	2018	Caicos	F	1841	0.511388889
2	M288	288	12	9	2018	Thassos	A	1813	0.503611111
3	Ti151	151	23	9	2018	Rinca	B	1830	0.508333333
1	L38	38	14	6	2018	Rinca	B	1803	0.500833333
2	A58	58	19	9	2018	Rinca	B	1786	0.496111111
3	Ti185	185	30	10	2018	Rinca	B	1805	0.501388889
4	Ti239	239	5	11	2018	Rinca	B	1815	0.504166667
1	Ta43	43	31	5	2018	Rinca	B	1813	0.503611111
2	Ti51	51	13	6	2018	Rinca	B	1816	0.504444444
3	Ta166	166	22	8	2018	Rinca	B	1810	0.502777778
4	Ti128	128	20	9	2018	Rinca	B	1812	0.503333333
4	P230	230	8	10	2018	Lucia	F	1822	0.506111111
3	M289	289	12	9	2018	Isabella	A	1808	0.502222222
2	Ta112	112	15	7	2018	Rinca	B	1824	0.506666667
3	M290	290	12	9	2018	Paros	A	1819	0.505277778
4	Ti164	164	24	9	2018	Rinca	B	1835	0.509722222
3	M291	291	12	9	2018	Luzon	A	1825	0.506944444
2	Ta95	95	4	7	2018	Rinca	B	1847	0.513055556
4	P231	231	8	10	2018	Mayaguana	F	1857	0.515833333
4	P232	232	8	10	2018	Taji	J	1861	0.516944444
1	Ta33	33	21	5	2018	Rinca	B	1808	0.502222222
2	Ti45	45	12	6	2018	Rinca	B	1867	0.518611111
2	M292	292	12	9	2018	Lefkada	A	1827	0.5075
4	J51	51	26	9	2018	Rinca	B	1817	0.504722222
3	M293	293	15	9	2018	Bahrain	J	1818	0.505
4	M294	294	15	9	2018	Kasachstan	J	1812	0.503333333
4	M295	295	15	9	2018	Syria	J	1813	0.503611111
4	Ti157	157	24	9	2018	Syria	J	1824	0.506666667
3	M296	296	15	9	2018	Kuwait	J	1815	0.504166667
4	P233	233	8	10	2018	Afganistan	J	1872	0.52
3	Ti103	103	30	8	2018	Syria	J	1834	0.509444444
1	Ti23	23	3	5	2018	Syria	J	1942	0.539444444
3	M297	297	16	9	2018	Lucia	F	1812	0.503333333
3	A84	84	1	10	2018	Syria	J	1795	0.498611111
4	P234	234	8	10	2018	Colanta	J	1871	0.519722222
3	M298	298	16	9	2018	Mayaguana	F	1814	0.503888889
2	Ta164	164	17	8	2018	Syria	J	1806	0.501666667
4	P235	235	8	10	2018	Pakistan	J	1856	0.515555556
1	L20	20	1	6	2018	Syria	J	1940	0.538888889
2	Ta116	116	16	7	2018	Syria	J	1849	0.513611111
3	Ti120	120	19	9	2018	Syria	J	1811	0.503055556
3	P236	236	17	10	2018	Oman	B	1871	0.519722222
3	M300	300	16	9	2018	Caicos	F	1823	0.506388889
3	A25	25	11	9	2018	Syria	J	1759	0.488611111
1	Ta50	50	2	6	2018	Syria	J	1833	0.509166667
2	Ti70	70	20	6	2018	Syria	J	1803	0.500833333
3	P237	237	17	10	2018	Bora	B	1846	0.512777778
1	Ta60	60	14	6	2018	Syria	J	1813	0.503611111
2	Ta125	125	25	7	2018	Syria	J	1804	0.501111111
3	Ti99	99	29	8	2018	Syria	J	1838	0.510555556
4	Ti241	241	5	11	2018	Syria	J	1800	0.5
3	M301	301	16	9	2018	Bonacca	F	1810	0.502777778
2	Ta68	68	18	6	2018	Syria	J	1834	0.509444444
3	M302	302	16	9	2018	Pinos	F	1815	0.504166667
3	M303	303	16	9	2018	Adonara	B	1814	0.503888889
1	Ta23	23	15	5	2018	Syria	J	1834	0.509444444
2	P238	238	17	10	2018	Buru	B	1877	0.521388889
3	Ta175	175	23	8	2018	Syria	J	1830	0.508333333
4	A52	52	18	9	2018	Syria	J	1806	0.501666667
3	M304	304	16	9	2018	Bangladesh	B	1815	0.504166667
1	L81	81	7	7	2018	Taji	J	1804	0.501111111
3	M305	305	16	9	2018	Buru	B	1831	0.508611111
4	P239	239	17	10	2018	Adonara	B	1865	0.518055556
1	Ti47	47	13	6	2018	Taji	J	1851	0.514166667
3	M306	306	17	9	2018	Afganistan	J	1818	0.505
3	A40	40	16	9	2018	Taji	J	1806	0.501666667
3	M307	307	17	9	2018	Cambodia	J	1809	0.5025
2	M308	308	17	9	2018	Armenia	J	1812	0.503333333
3	Ti167	167	9	10	2018	Taji	J	1830	0.508333333
3	M309	309	17	9	2018	Pakistan	J	1834	0.509444444
3	P240	240	17	10	2018	Bangladesh	B	1861	0.516944444
3	P241	241	17	10	2018	Aloha	B	1856	0.515555556
4	J53	53	13	9	2018	Taji	J	1781	0.494722222
3	M310	310	17	9	2018	Kasachstan	J	1809	0.5025
3	M311	311	17	9	2018	Jaco	B	1818	0.505
3	A86	86	1	10	2018	Taji	J	1800	0.5
1	L80	80	6	7	2018	Taji	J	1793	0.498055556
4	P242	242	17	10	2018	Bonacca	F	1844	0.512222222
3	Ti196	196	31	10	2018	Taji	J	1821	0.505833333
1	Ta86	86	2	7	2018	Taji	J	1810	0.502777778
2	Ta136	136	31	7	2018	Taji	J	1823	0.506388889
5	P243	243	17	10	2018	Lucia	F	1868	0.518888889
4	P244	244	17	10	2018	Caicos	F	1869	0.519166667
1	Ta14	14	11	5	2018	Taji	J	1834	0.509444444
3	M312	312	17	9	2018	Rinca	B	1817	0.504722222
3	Ta178	178	28	8	2018	Taji	J	1812	0.503333333
4	J45	45	25	9	2018	Taji	J	1800	0.5
1	Ta37	37	23	5	2018	Taji	J	1744	0.484444444
2	Ta126	126	25	7	2018	Taji	J	1843	0.511944444
5	P245	245	17	10	2018	Pinos	F	1856	0.515555556
4	M313	313	17	9	2018	Bora	B	1815	0.504166667
1	Ta62	62	14	6	2018	Taji	J	1817	0.504722222
4	M314	314	17	9	2018	Oman	B	1818	0.505
3	M315	315	2	10	2018	Buru	B	1845	0.5125
4	Ta146	146	9	8	2018	Taji	J	1812	0.503333333
4	P246	246	17	10	2018	Tortuga	F	1842	0.511666667
3	M316	316	2	10	2018	Bangladesh	B	1812	0.503333333
3	A88	88	3	10	2018	Thassos	A	1798	0.499444444
4	P247	247	17	10	2018	Mayaguana	F	1858	0.516111111
5	P248	248	19	10	2018	Rinca	B	1836	0.51
3	M317	317	2	10	2018	Oman	B	1817	0.504722222
3	M318	318	2	10	2018	Bora	B	1815	0.504166667
4	Ti204	204	1	11	2018	Thassos	A	1828	0.507777778
1	L45	45	16	6	2018	Thassos	A	1954	0.542777778
4	P249	249	19	10	2018	Bora	B	1842	0.511666667
5	P250	250	19	10	2018	Tilos	B	1832	0.508888889
4	Ti134	134	21	9	2018	Thassos	A	1816	0.504444444
4	P251	251	19	10	2018	Latalata	B	1850	0.513888889
2	Ti67	67	20	6	2018	Thassos	A	1834	0.509444444
3	A46	46	17	9	2018	Thassos	A	1792	0.497777778
1	L64	64	2	7	2018	Thassos	A	1807	0.501944444
3	M319	319	2	10	2018	Tilos	B	1825	0.506944444
3	Ti89	89	28	8	2018	Thassos	A	1903	0.528611111
4	A37	37	15	9	2018	Thassos	A	1794	0.498333333
4	P252	252	19	10	2018	Jaco	B	1860	0.516666667
1	Ti5	5	1	5	2018	Thassos	A	1866	0.518333333
2	L25	25	4	6	2018	Thassos	A	1849	0.513611111
1	Ta53	53	3	6	2018	Thassos	A	1812	0.503333333
2	Ta128	128	26	7	2018	Thassos	A	1806	0.501666667
3	M320	320	2	10	2018	Adonara	B	1821	0.505833333
4	A78	78	30	9	2018	Thassos	A	1802	0.500555556
3	M321	321	2	10	2018	Armenia	J	1882	0.522777778
3	P253	253	20	10	2018	Pinos	F	1846	0.512777778
3	Ta158	158	16	8	2018	Thassos	A	1810	0.502777778
4	P254	254	20	10	2018	Bonacca	F	1837	0.510277778
4	P255	255	20	10	2018	Lucia	F	1844	0.512222222
4	M322	322	2	10	2018	Cambodia	J	1813	0.503611111
4	M323	323	2	10	2018	Taji	J	1810	0.502777778
6	P256	256	20	10	2018	Isabella	A	1829	0.508055556
1	Ti63	63	19	6	2018	Thassos	A	1819	0.505277778
4	M324	324	2	10	2018	Kuwait	J	1815	0.504166667
3	Ti76	76	17	7	2018	Thassos	A	2084	0.578888889
4	J16	16	11	9	2018	Thassos	A	1812	0.503333333
5	Ti115	115	18	9	2018	Thassos	A	1804	0.501111111
3	M325	325	3	10	2018	Bahrain	J	1814	0.503888889
3	M326	326	3	10	2018	Pakistan	J	1812	0.503333333
2	M327	327	3	10	2018	Taji	J	1821	0.505833333
3	Ti106	106	18	9	2018	Tilos	B	2014	0.559444444
5	P257	257	20	10	2018	Thassos	A	1828	0.507777778
4	M328	328	3	10	2018	Kuwait	J	1813	0.503611111
3	Ti148	148	23	9	2018	Tilos	B	1835	0.509722222
1	L9	9	24	5	2018	Tilos	B	1856	0.515555556
5	P258	258	20	10	2018	Luzon	A	1829	0.508055556
3	A64	64	27	9	2018	Tilos	B	1789	0.496944444
5	P259	259	20	10	2018	Paros	A	1828	0.507777778
4	M329	329	3	10	2018	Syria	J	1819	0.505277778
3	A56	56	19	9	2018	Tilos	B	1805	0.501388889
4	M330	330	3	10	2018	Kasachstan	J	1817	0.504722222
3	M331	331	3	10	2018	Tilos	B	1857	0.515833333
4	M332	332	3	10	2018	Buru	B	1811	0.503055556
4	Ti184	184	30	10	2018	Tilos	B	1806	0.501666667
1	L58	58	20	6	2018	Tilos	B	1914	0.531666667
2	A19	19	6	9	2018	Tilos	B	1791	0.4975
4	P260	260	20	10	2018	Lefkada	A	1872	0.52
4	Ti228	228	4	11	2018	Tilos	B	1837	0.510277778
4	M333	333	3	10	2018	Adonara	B	1815	0.504166667
4	P261	261	21	10	2018	Aloha	B	1855	0.515277778
1	Ti28	28	3	5	2018	Tilos	B	1857	0.515833333
2	Ta83	83	1	7	2018	Tilos	B	1807	0.501944444
5	M335	335	24	10	2018	Bangladesh	B	1821	0.505833333
4	J5	5	7	9	2018	Tilos	B	1756	0.487777778
3	P262	262	21	10	2018	Latalata	B	1857	0.515833333
5	M336	336	24	10	2018	Buru	B	1823	0.506388889
4	M337	337	24	10	2018	Adonara	B	2016	0.56
4	Ti130	130	20	9	2018	Tilos	B	1811	0.503055556
3	P263	263	21	10	2018	Jaco	B	1860	0.516666667
1	Ta73	73	19	6	2018	Tilos	B	1831	0.508611111
2	Ta123	123	24	7	2018	Tilos	B	1791	0.4975
3	J39	39	22	9	2018	Tilos	B	1807	0.501944444
4	P264	264	21	10	2018	Rinca	B	1814	0.503888889
4	M338	338	24	10	2018	Rinca	B	1845	0.5125
3	P265	265	21	10	2018	Oman	B	1839	0.510833333
4	M339	339	24	10	2018	Tilos	B	1852	0.514444444
3	P266	266	21	10	2018	Bangladesh	B	1854	0.515
3	A2	2	3	9	2018	Tortuga	F	1832	0.508888889
1	L28	28	7	6	2018	Tortuga	F	1823	0.506388889
3	P267	267	22	10	2018	Mongolei	J	1859	0.516388889
4	M340	340	21	11	2018	Pakistan	J	1816	0.504444444
1	L41	41	15	6	2018	Tortuga	F	1830	0.508333333
4	M341	341	21	11	2018	Kasachstan	J	1811	0.503055556
4	M342	342	21	11	2018	Mongolei	J	1815	0.504166667
4	Ti144	144	22	9	2018	Tortuga	F	1842	0.511666667
4	P268	268	22	10	2018	Bahrain	J	1857	0.515833333
2	Ta109	109	15	7	2018	Tortuga	F	1827	0.5075
3	A76	76	29	9	2018	Tortuga	F	1764	0.49
4	P269	269	22	10	2018	Afganistan	J	1866	0.518333333
3	M343	343	21	11	2018	Bahrain	J	1819	0.505277778
3	P270	270	22	10	2018	Armenia	J	1865	0.518055556
2	Ta132	132	27	7	2018	Tortuga	F	1834	0.509444444
3	J20	20	18	9	2018	Tortuga	F	1804	0.501111111
4	Ti153	153	23	9	2018	Tortuga	F	1820	0.505555556
4	M344	344	21	11	2018	Armenia	J	1815	0.504166667
4	P271	271	22	10	2018	Colanta	J	1849	0.513611111
3	Ta148	148	11	8	2018	Tortuga	F	1819	0.505277778
4	A60	60	20	9	2018	Tortuga	F	1809	0.5025
3	P272	272	22	10	2018	Kuwait	J	1845	0.5125
1	Ta25	25	16	5	2018	Tortuga	F	1841	0.511388889
4	P273	273	22	10	2018	Bangladesh	B	1849	0.513611111
4	M345	345	21	11	2018	Cambodia	J	1811	0.503055556
4	Ti139	139	21	9	2018	Tortuga	F	1828	0.507777778
3	M250_bis	250_bis	11	9	2018	Mayaguana	F	1814	0.503888889
3	M251_bis	251_bis	11	9	2018	Pinos	F	1811	0.503055556
3	Ta156	156	14	8	2018	Tortuga	F	1813	0.503611111
4	J43	43	24	9	2018	Tortuga	F	1782	0.495
4	P274	274	22	10	2018	Adonara	B	1832	0.508888889
3	M252_bis	252_bis	11	9	2018	Lucia	F	1785	0.495833333
5	P275	275	22	10	2018	Jaco	B	1860	0.516666667
4	P276	276	22	10	2018	Tilos	B	1842	0.511666667
4	P277	277	22	10	2018	Aloha	B	1849	0.513611111
4	P278	278	22	10	2018	Oman	B	1845	0.5125
3	P279	279	19	10	2018	Taji	J	1865	0.518055556
3	P280	280	19	10	2018	Bahrain	J	1852	0.514444444
4	P281	281	19	10	2018	Syria	J	1854	0.515
3	P282	282	19	10	2018	Mongolei	J	1850	0.513888889
4	P283	283	19	10	2018	Kasachstan	J	1839	0.510833333
3	P284	284	19	10	2018	Cambodia	J	1857	0.515833333
1	P80bis	80bis	14	6	2018	Paros	A	1839	0.510833333
4	Ti175	175	24	10	2018	Mayaguana	F	1840	0.511111111
4	Ti177	177	24	10	2018	Tortuga	F	1893	0.525833333
4	Ti178	178	24	10	2018	Caicos	F	1858	0.516111111
4	Ti179	179	24	10	2018	Pinos	F	1744	0.484444444
4	Ti180	180	24	10	2018	Bonacca	F	1830	0.508333333
3	M253_bis	253_bis	11	9	2018	Tortuga	F	1787	0.496388889
3	M254_bis	254_bis	11	9	2018	Caicos	F	1818	0.505
3	M255_bis	255_bis	11	9	2018	Bonacca	F	1847	0.513055556
3	M257_bis	257_bis	11	9	2018	Mongolei	J	1828	0.507777778
4	Ti186	186	30	10	2018	Lefkada	A	1805	0.501388889
5	Ti187	187	30	10	2018	Luzon	A	1823	0.506388889
5	Ti188	188	30	10	2018	Isabella	A	1808	0.502222222
4	Ti189	189	30	10	2018	Paros	A	1822	0.506111111
4	Ti190	190	30	10	2018	Thassos	A	1815	0.504166667
5	Ti197	197	31	10	2018	Lucia	F	1812	0.503333333
5	Ti198	198	31	10	2018	Mayaguana	F	1814	0.503888889
5	Ti199	199	31	10	2018	Tortuga	F	1801	0.500277778
5	Ti200	200	31	10	2018	Caicos	F	1807	0.501944444
4	Ti201	201	31	10	2018	Pinos	F	1813	0.503611111
