ntab	code	nfocal	day	month	year	individual	group	length_focalsec	length_focalh
2	Ta80	80	29	6	2018	Colanta	J	1814	0.503888889
3	Ta174	174	23	8	2018	Colanta	J	1977	0.549166667
1	P89	89	16	6	2018	Cambodia	J	1865	0.518055556
1	Ta66	66	15	6	2018	Colanta	J	1809	0.5025
2	M125	125	7	7	2018	Bangladesh	B	1817	0.504722222
3	A29	29	12	9	2018	Colanta	J	1822	0.506111111
1	P90	90	16	6	2018	Kuwait	J	1868	0.518888889
1	L30	30	12	6	2018	Gozo	F	1846	0.512777778
2	M126	126	7	7	2018	Buru	B	1822	0.506111111
2	M127	127	7	7	2018	Latalata	B	1857	0.515833333
2	Ta108	108	15	7	2018	Gozo	F	1814	0.503888889
1	L3	3	22	5	2018	Gozo	F	1815	0.504166667
1	L75	75	4	7	2018	Gozo	F	1834	0.509444444
1	M128	128	7	7	2018	Jaco	B	1814	0.503888889
2	M129	129	6	7	2018	Oman	B	1823	0.506388889
1	P91	91	16	6	2018	Afganistan	J	1905	0.529166667
1	P92	92	18	6	2018	Amorgos	A	1821	0.505833333
1	Ta2	2	1	5	2018	Gozo	F	1777	0.493611111
1	P93	93	18	6	2018	Isabella	A	1835	0.509722222
1	P94	94	18	6	2018	Lefkada	A	1833	0.509166667
1	Ti64	64	20	6	2018	Isabella	A	1808	0.502222222
1	P95	95	18	6	2018	Thassos	A	1856	0.515555556
2	P96	96	18	6	2018	Luzon	A	1828	0.507777778
1	P97	97	18	6	2018	Tortuga	F	1838	0.510555556
2	L62	62	2	7	2018	Isabella	A	1775	0.493055556
1	M130	130	6	7	2018	Latalata	B	1810	0.502777778
4	A89	89	3	10	2018	Isabella	A	1802	0.500555556
1	Ti2	2	1	5	2018	Isabella	A	1800	0.5
1	P98	98	18	6	2018	Gozo	F	1842	0.511666667
1	M131	131	6	7	2018	Adonara	B	1828	0.507777778
4	Ti205	205	1	11	2018	Isabella	A	1834	0.509444444
1	L23	23	4	6	2018	Isabella	A	1870	0.519444444
1	P99	99	18	6	2018	Pinos	F	1846	0.512777778
2	P100	100	18	6	2018	Bonacca	F	1853	0.514722222
4	Ti135	135	21	9	2018	Isabella	A	1816	0.504444444
2	M132	132	6	7	2018	Bora	B	1813	0.503611111
1	M133	133	6	7	2018	Bangladesh	B	1813	0.503611111
3	A47	47	17	9	2018	Isabella	A	1776	0.493333333
2	P101	101	24	7	2018	Isabella	A	1854	0.515
2	M134	134	5	7	2018	Buru	B	1819	0.505277778
2	A38	38	15	9	2018	Isabella	A	1827	0.5075
